[31860:12892:0123/114925.411:WARNING:chrome_main_delegate.cc(745)] This is Chrome version 128.0.6613.138 (not a warning)
[31860:12892:0123/115051.304:ERROR:page_load_metrics_update_dispatcher.cc(179)] Invalid first_paint 2.577 s for first_image_paint 2.507 s
[31860:12892:0123/115051.442:ERROR:page_load_metrics_update_dispatcher.cc(179)] Invalid first_paint 2.577 s for first_image_paint 2.507 s
[31860:12892:0123/115051.641:ERROR:page_load_metrics_update_dispatcher.cc(179)] Invalid first_paint 2.577 s for first_image_paint 2.507 s
[31860:12892:0123/115051.777:ERROR:page_load_metrics_update_dispatcher.cc(179)] Invalid first_paint 2.577 s for first_image_paint 2.507 s
[31860:12892:0123/115052.173:ERROR:page_load_metrics_update_dispatcher.cc(179)] Invalid first_paint 2.577 s for first_image_paint 2.507 s
[31860:12892:0123/115052.305:ERROR:page_load_metrics_update_dispatcher.cc(179)] Invalid first_paint 2.577 s for first_image_paint 2.507 s
[31860:12892:0123/115053.307:ERROR:page_load_metrics_update_dispatcher.cc(179)] Invalid first_paint 2.577 s for first_image_paint 2.507 s
[31860:12892:0123/115053.914:ERROR:page_load_metrics_update_dispatcher.cc(179)] Invalid first_paint 2.577 s for first_image_paint 2.507 s
[31860:12892:0123/115054.308:ERROR:page_load_metrics_update_dispatcher.cc(179)] Invalid first_paint 2.577 s for first_image_paint 2.507 s
[31860:12892:0123/115055.311:ERROR:page_load_metrics_update_dispatcher.cc(179)] Invalid first_paint 2.577 s for first_image_paint 2.507 s
[31860:12892:0123/115055.710:ERROR:page_load_metrics_update_dispatcher.cc(179)] Invalid first_paint 2.577 s for first_image_paint 2.507 s
[31860:12892:0123/115056.377:ERROR:page_load_metrics_update_dispatcher.cc(179)] Invalid first_paint 2.577 s for first_image_paint 2.507 s
[31860:12892:0123/115056.707:ERROR:page_load_metrics_update_dispatcher.cc(179)] Invalid first_paint 2.577 s for first_image_paint 2.507 s
[31860:12892:0123/115057.372:ERROR:page_load_metrics_update_dispatcher.cc(179)] Invalid first_paint 2.577 s for first_image_paint 2.507 s
[31860:12892:0123/115057.917:ERROR:page_load_metrics_update_dispatcher.cc(179)] Invalid first_paint 2.577 s for first_image_paint 2.507 s
[31860:12892:0123/115058.378:ERROR:page_load_metrics_update_dispatcher.cc(179)] Invalid first_paint 2.577 s for first_image_paint 2.507 s
[31860:12892:0123/115058.716:ERROR:page_load_metrics_update_dispatcher.cc(179)] Invalid first_paint 2.577 s for first_image_paint 2.507 s
[31860:12892:0123/115058.911:ERROR:page_load_metrics_update_dispatcher.cc(179)] Invalid first_paint 2.577 s for first_image_paint 2.507 s
[31860:12892:0123/115059.239:ERROR:page_load_metrics_update_dispatcher.cc(179)] Invalid first_paint 2.577 s for first_image_paint 2.507 s
[31860:12892:0123/115059.437:ERROR:page_load_metrics_update_dispatcher.cc(179)] Invalid first_paint 2.577 s for first_image_paint 2.507 s
[31860:12892:0123/115059.843:ERROR:page_load_metrics_update_dispatcher.cc(179)] Invalid first_paint 2.577 s for first_image_paint 2.507 s
[31860:12892:0123/115100.238:ERROR:page_load_metrics_update_dispatcher.cc(179)] Invalid first_paint 2.577 s for first_image_paint 2.507 s
[31860:12892:0123/115101.239:ERROR:page_load_metrics_update_dispatcher.cc(179)] Invalid first_paint 2.577 s for first_image_paint 2.507 s
[31860:12892:0123/115101.374:ERROR:page_load_metrics_update_dispatcher.cc(179)] Invalid first_paint 2.577 s for first_image_paint 2.507 s
[31860:12892:0123/115101.705:ERROR:page_load_metrics_update_dispatcher.cc(179)] Invalid first_paint 2.577 s for first_image_paint 2.507 s
[31860:12892:0123/115102.238:ERROR:page_load_metrics_update_dispatcher.cc(179)] Invalid first_paint 2.577 s for first_image_paint 2.507 s
[31860:12892:0123/115103.045:ERROR:page_load_metrics_update_dispatcher.cc(179)] Invalid first_paint 2.577 s for first_image_paint 2.507 s
[31860:12892:0123/115103.381:ERROR:page_load_metrics_update_dispatcher.cc(179)] Invalid first_paint 2.577 s for first_image_paint 2.507 s
[31860:12892:0123/115103.438:ERROR:page_load_metrics_update_dispatcher.cc(179)] Invalid first_paint 2.577 s for first_image_paint 2.507 s
[31860:12892:0123/115103.979:ERROR:page_load_metrics_update_dispatcher.cc(179)] Invalid first_paint 2.577 s for first_image_paint 2.507 s
[31860:12892:0123/115104.239:ERROR:page_load_metrics_update_dispatcher.cc(179)] Invalid first_paint 2.577 s for first_image_paint 2.507 s
[31860:12892:0123/115104.705:ERROR:page_load_metrics_update_dispatcher.cc(179)] Invalid first_paint 2.577 s for first_image_paint 2.507 s
[31860:12892:0123/115105.375:ERROR:page_load_metrics_update_dispatcher.cc(179)] Invalid first_paint 2.577 s for first_image_paint 2.507 s
[31860:12892:0123/115106.308:ERROR:page_load_metrics_update_dispatcher.cc(179)] Invalid first_paint 2.577 s for first_image_paint 2.507 s
[31860:12892:0123/115106.440:ERROR:page_load_metrics_update_dispatcher.cc(179)] Invalid first_paint 2.577 s for first_image_paint 2.507 s
[31860:12892:0123/115106.771:ERROR:page_load_metrics_update_dispatcher.cc(179)] Invalid first_paint 2.577 s for first_image_paint 2.507 s
[31860:12892:0123/115107.038:ERROR:page_load_metrics_update_dispatcher.cc(179)] Invalid first_paint 2.577 s for first_image_paint 2.507 s
[31860:12892:0123/115107.309:ERROR:page_load_metrics_update_dispatcher.cc(179)] Invalid first_paint 2.577 s for first_image_paint 2.507 s
[31860:12892:0123/115107.442:ERROR:page_load_metrics_update_dispatcher.cc(179)] Invalid first_paint 2.577 s for first_image_paint 2.507 s
[31860:12892:0123/115107.842:ERROR:page_load_metrics_update_dispatcher.cc(179)] Invalid first_paint 2.577 s for first_image_paint 2.507 s
[31860:12892:0123/115108.373:ERROR:page_load_metrics_update_dispatcher.cc(179)] Invalid first_paint 2.577 s for first_image_paint 2.507 s
[31860:12892:0123/115109.237:ERROR:page_load_metrics_update_dispatcher.cc(179)] Invalid first_paint 2.577 s for first_image_paint 2.507 s
[31860:12892:0123/115110.372:ERROR:page_load_metrics_update_dispatcher.cc(179)] Invalid first_paint 2.577 s for first_image_paint 2.507 s
[31860:12892:0123/115110.837:ERROR:page_load_metrics_update_dispatcher.cc(179)] Invalid first_paint 2.577 s for first_image_paint 2.507 s
[31860:12892:0123/115111.304:ERROR:page_load_metrics_update_dispatcher.cc(179)] Invalid first_paint 2.577 s for first_image_paint 2.507 s
[31860:12892:0123/115111.440:ERROR:page_load_metrics_update_dispatcher.cc(179)] Invalid first_paint 2.577 s for first_image_paint 2.507 s
[31860:12892:0123/115111.837:ERROR:page_load_metrics_update_dispatcher.cc(179)] Invalid first_paint 2.577 s for first_image_paint 2.507 s
[31860:12892:0123/115112.308:ERROR:page_load_metrics_update_dispatcher.cc(179)] Invalid first_paint 2.577 s for first_image_paint 2.507 s
[31860:12892:0123/115112.438:ERROR:page_load_metrics_update_dispatcher.cc(179)] Invalid first_paint 2.577 s for first_image_paint 2.507 s
[31860:12892:0123/115112.643:ERROR:page_load_metrics_update_dispatcher.cc(179)] Invalid first_paint 2.577 s for first_image_paint 2.507 s
[31860:12892:0123/115112.841:ERROR:page_load_metrics_update_dispatcher.cc(179)] Invalid first_paint 2.577 s for first_image_paint 2.507 s
[31860:12892:0123/115112.971:ERROR:page_load_metrics_update_dispatcher.cc(179)] Invalid first_paint 2.577 s for first_image_paint 2.507 s
[31860:12892:0123/115113.312:ERROR:page_load_metrics_update_dispatcher.cc(179)] Invalid first_paint 2.577 s for first_image_paint 2.507 s
[31860:12892:0123/115113.437:ERROR:page_load_metrics_update_dispatcher.cc(179)] Invalid first_paint 2.577 s for first_image_paint 2.507 s
[31860:12892:0123/115113.638:ERROR:page_load_metrics_update_dispatcher.cc(179)] Invalid first_paint 2.577 s for first_image_paint 2.507 s
[31860:12892:0123/115113.780:ERROR:page_load_metrics_update_dispatcher.cc(179)] Invalid first_paint 2.577 s for first_image_paint 2.507 s
[31860:12892:0123/115113.971:ERROR:page_load_metrics_update_dispatcher.cc(179)] Invalid first_paint 2.577 s for first_image_paint 2.507 s
[31860:12892:0123/115114.376:ERROR:page_load_metrics_update_dispatcher.cc(179)] Invalid first_paint 2.577 s for first_image_paint 2.507 s
[31860:12892:0123/115114.576:ERROR:page_load_metrics_update_dispatcher.cc(179)] Invalid first_paint 2.577 s for first_image_paint 2.507 s
[31860:12892:0123/115114.772:ERROR:page_load_metrics_update_dispatcher.cc(179)] Invalid first_paint 2.577 s for first_image_paint 2.507 s
[31860:12892:0123/115114.904:ERROR:page_load_metrics_update_dispatcher.cc(179)] Invalid first_paint 2.577 s for first_image_paint 2.507 s
[31860:12892:0123/115115.172:ERROR:page_load_metrics_update_dispatcher.cc(179)] Invalid first_paint 2.577 s for first_image_paint 2.507 s
[31860:12892:0123/115115.304:ERROR:page_load_metrics_update_dispatcher.cc(179)] Invalid first_paint 2.577 s for first_image_paint 2.507 s
[31860:12892:0123/115116.305:ERROR:page_load_metrics_update_dispatcher.cc(179)] Invalid first_paint 2.577 s for first_image_paint 2.507 s
[31860:12892:0123/115116.437:ERROR:page_load_metrics_update_dispatcher.cc(179)] Invalid first_paint 2.577 s for first_image_paint 2.507 s
[31860:12892:0123/115116.773:ERROR:page_load_metrics_update_dispatcher.cc(179)] Invalid first_paint 2.577 s for first_image_paint 2.507 s
